Entity Information,Initial Filing Date,Status,Entity Type,Formed In,Agent
Serene Surrogacy Partners LLC (202462512424),05/31/2024,Active,Limited Liability Company - CA,CALIFORNIA,"UNITED STATES CORPORATION AGENTS, INC."
Modern Fertility Law PC (6071323),01/24/2024,Active,Stock Corporation - CA - Professional,CALIFORNIA,"UNITED STATES CORPORATION AGENTS, INC."
American Quest For Fertility Inc. (6159623),03/25/2024,Active,Stock Corporation - CA - General,CALIFORNIA,"UNITED STATES CORPORATION AGENTS, INC."
Katy Cleland Surrogacy Consultant LLC (202355513229),03/06/2023,Terminated,Limited Liability Company - CA,CALIFORNIA,"UNITED STATES CORPORATION AGENTS, INC."
AMERICAN FERTILITY CONSULTING INC (4162756),06/11/2018,Suspended - FTB,Stock Corporation - CA - General,CALIFORNIA,XIAOYAN ZHENG
"AMERICAN FERTILITY CENTER, INC. (3895753)",04/11/2016,Converted Out,Stock Corporation - CA - General,CALIFORNIA,XIAOYAN ZHENG
TAI CHI FERTILITY INC. (6046806),01/08/2024,Active,Stock Corporation - CA - General,CALIFORNIA,YANQING HAN
"TAIJI FERTILITY, INC. (5163094)",07/18/2022,Terminated,Stock Corporation - CA - General,CALIFORNIA,YANQING HAN
PACIFIC SURROGACY USA LLC (201915110311),05/26/2019,Active,Limited Liability Company - CA,CALIFORNIA,YULUN JIANG
PACIFIC SURROGACY LLC (201819710525),07/12/2018,Terminated,Limited Liability Company - CA,CALIFORNIA,YULUN JIANG
Food and Fertility LLC (202461818659),04/16/2024,Active,Limited Liability Company - CA,CALIFORNIA,ZENBUSINESS INC.
Our Mexico Surrogacy Journey LLC (202463018340),07/16/2024,Active,Limited Liability Company - CA,CALIFORNIA,ZENBUSINESS INC.
Legacy Fertility LLC (202356411055),04/11/2023,Active,Limited Liability Company - CA,CALIFORNIA,ZENBUSINESS INC.
Fertility Endurance LLC (202356913010),05/02/2023,Active,Limited Liability Company - CA,CALIFORNIA,ZENBUSINESS INC.
PINEAPPLE SURROGACY LLC (202023010600),08/13/2020,Active,Limited Liability Company - CA,CALIFORNIA,ZENBUSINESS INC.
INCINTA FERTILITY INVESTMENT. LLC (201811610323),04/13/2018,Active,Limited Liability Company - Out of State,DELAWARE,dongsheng zhou
INCINTA FERTILITY MANAGEMENT.LLC (201814210399),05/11/2018,Active,Limited Liability Company - Out of State,DELAWARE,dongsheng zhou
INTERNATIONAL FERTILITY SERVICE INC. (3281683),03/01/2010,Active,Stock Corporation - CA - General,CALIFORNIA,dongsheng zhou
INCINTA FERTILITY CENTER L.L.C. (201619410088),07/05/2016,Active,Limited Liability Company - CA,CALIFORNIA,dongsheng zhou
